,T,Vc,X,X_dot,X_dot_sl,delta
0,0.0,[ 0.57404203],-1.00273036957,-96.9671454592,-9.69671454592,[-0.27322292]
1,0.0103409290314,[ 0.57429925],-1.0027885437,-0.00360211402758,-87.2707911246,[-0.27346269]
2,0.0264909267426,[ 0.57466579],-1.00287139416,-0.00723656809663,-0.00396555943448,[-0.27380437]
3,0.037939786911,[ 0.5748948],-1.00292313099,-0.00439484769929,-0.00695239605689,[-0.27401786]
4,0.0497119426727,[ 0.57470114],-1.00287938118,0.00362770100627,-0.00359259282873,[-0.27383733]
5,0.0617718696594,[ 0.57416378],-1.00275790691,0.00932688963333,0.00419761986897,[-0.2733364]
6,0.07479596138,[ 0.57366853],-1.00264585018,0.00971716837579,0.00936591750758,[-0.27287478]
7,0.086327791214,[ 0.57128598],-1.00210535526,0.045207091152,0.0132661606534,[-0.27065438]
8,0.0982837677002,[ 0.56965034],-1.00173294544,0.0320930328121,0.043895685318,[-0.26913045]
9,0.109887838364,[ 0.56793876],-1.00134205818,0.0332724505327,0.0322109745842,[-0.26753614]
10,0.121635913849,[ 0.56393943],-1.00042390823,0.0750740798503,0.0374526134645,[-0.26381226]
11,0.133865833282,[ 0.56148292],-0.999856591225,0.0447552052965,0.0720421923949,[-0.26152595]
12,0.146541833878,[ 0.55570968],-0.998513042927,0.116183535039,0.0518980382708,[-0.25615577]
13,0.15810585022,[ 0.55289055],-0.997851669788,0.0563924295095,0.110204424486,[-0.25353505]
14,0.169833898544,[ 0.54607183],-0.996237277985,0.131656977309,0.0639188842895,[-0.24720064]
15,0.182096004486,[ 0.5423646],-0.995350658894,0.0770917119284,0.126200450771,[-0.24375941]
16,0.193596839905,[ 0.53839792],-0.994394898415,0.0813348347434,0.0775160242099,[-0.24007945]
17,0.205347776413,[ 0.52917045],-0.992142498493,0.186826388752,0.0918839901443,[-0.2315277]
18,0.217403888702,[ 0.52415561],-0.990900874138,0.0989502185066,0.178038771727,[-0.22688535]
19,0.229951858521,[ 0.5125548],-0.987979471684,0.210399567293,0.110095153385,[-0.21616096]
20,0.24383687973,[ 0.49965127],-0.984645605087,0.213847130251,0.210744323589,[-0.20425759]
21,0.259426832199,[ 0.49275296],-0.982824981213,0.158054601151,0.208267877341,[-0.19790547]
22,0.27094578743,[ 0.47783007],-0.978789806366,0.344117886262,0.176660929662,[-0.18419313]
23,0.282671928406,[ 0.47007249],-0.976637244225,0.178977103776,0.327603808013,[-0.17708132]
24,0.294698953629,[ 0.45414017],-0.972090423107,0.357538574027,0.196833250801,[-0.16251304]
25,0.307415962219,[ 0.44564807],-0.969593584538,0.216741173062,0.34345883393,[-0.15476999]
26,0.318935871124,[ 0.43736451],-0.967105865479,0.210376426469,0.216104698402,[-0.14723275]
27,0.330760955811,[ 0.42043407],-0.961850166321,0.43154144317,0.232492928139,[-0.13187902]
28,0.342939853668,[ 0.4119457],-0.959122598171,0.216302703725,0.410017569225,[-0.12420892]
29,0.355549812317,[ 0.39476302],-0.953394532204,0.416432669475,0.2363157003,[-0.10874466]
30,0.369304895401,[ 0.37759333],-0.947366833687,0.397684551618,0.414557857689,[-0.09338328]
31,0.38446187973,[ 0.36899596],-0.944222569466,0.273179219488,0.385234018405,[-0.08572919]
32,0.395971775055,[ 0.35175134],-0.937634050846,0.559907810759,0.301852078615,[-0.07046113]
33,0.407738924026,[ 0.34330311],-0.934256315231,0.281828761264,0.532099905809,[-0.06302621]
34,0.419723987579,[ 0.32648968],-0.927204251289,0.561112797359,0.309757164874,[-0.04832841]
35,0.432291984558,[ 0.31836573],-0.92362344265,0.308265429692,0.535828060593,[-0.04127869]
36,0.443907976151,[ 0.31032859],-0.919957995415,0.313742296233,0.308813116346,[-0.03434119]
37,0.455590963364,[ 0.29481246],-0.91249781847,0.61716469428,0.344084536038,[-0.02106311]
38,0.467678785324,[ 0.28751264],-0.908793449402,0.322650815076,0.58771330636,[-0.01487461]
39,0.479159832001,[ 0.27314667],-0.901085972786,0.665407652883,0.356926498857,[-0.00282088]
40,0.490742921829,[ 0.2669664],-0.897580087185,0.294318682198,0.628298755814,[ 0.00230763]
41,0.502654790878,[ 0.25380783],-0.889675855637,0.628965092013,0.32778332318,[ 0.01309492]
42,0.515221834183,[ 0.24698704],-0.885313093662,0.328741713526,0.598942754164,[ 0.01860689]
43,0.528492927551,[ 0.2353364],-0.877370595932,0.538474283128,0.349714970486,[ 0.02787478]
44,0.543242931366,[ 0.22989283],-0.873418569565,0.345369309303,0.519163785746,[ 0.03213274]
45,0.55468583107,[ 0.21992041],-0.865712761879,0.661559717531,0.376988350126,[ 0.03979342]
46,0.566333770752,[ 0.21459296],-0.861314713955,0.364949748744,0.631898720653,[ 0.04380145]
47,0.578384876251,[ 0.20599264],-0.85372787714,0.593607178167,0.387815491686,[ 0.05012572]
48,0.591165781021,[ 0.20178304],-0.849763631821,0.342808692246,0.568527329575,[ 0.05314605]
49,0.602729797363,[ 0.19386009],-0.841774046421,0.671450468863,0.375672869908,[ 0.05867212]
50,0.614628791809,[ 0.19018338],-0.837796986103,0.32987917021,0.637293338997,[ 0.06115572]
51,0.626684904099,[ 0.18673294],-0.833885788918,0.308406339299,0.327731887119,[ 0.0634328]
52,0.639366865158,[ 0.18019617],-0.825928390026,0.582870540158,0.335852759385,[ 0.06758235]
53,0.653018951416,[ 0.17448287],-0.818271100521,0.495365157708,0.574120001913,[ 0.07099846]
54,0.668476819992,[ 0.17183361],-0.814453542233,0.332164713204,0.479045113258,[ 0.07250245]
55,0.679969787598,[ 0.16706047],-0.80706423521,0.62430505197,0.361378747081,[ 0.07505881]
56,0.691805839539,[ 0.16480214],-0.803302943707,0.310875519735,0.592962098747,[ 0.07618875]
57,0.703904867172,[ 0.16077524],-0.796088814735,0.556217830882,0.33540975085,[ 0.07805141]
58,0.716874837875,[ 0.15867548],-0.792026937008,0.34773135486,0.53536918328,[ 0.0789326]
59,0.72855591774,[ 0.15536192],-0.785112082958,0.601135821916,0.373071801565,[ 0.0801717]
60,0.740058898926,[ 0.15396768],-0.78198826313,0.271780165529,0.568200256278,[ 0.0806288]
61,0.751552820206,[ 0.15249721],-0.778534829617,0.291156606163,0.273717809593,[ 0.08106324]
62,0.763413906097,[ 0.14974381],-0.771560788155,0.576458821906,0.319686827737,[ 0.08172443]
63,0.775511980057,[ 0.14868134],-0.768664836884,0.225683283477,0.541381268063,[ 0.08191811]
64,0.788343906403,[ 0.14640005],-0.7619830966,0.472912201954,0.250406175324,[ 0.08219488]
65,0.802472829819,[ 0.14468432],-0.756463170052,0.362410775781,0.461862059337,[ 0.08225463]
66,0.817703962326,[ 0.14372451],-0.75315362215,0.209215662632,0.347091264466,[ 0.08222157]
67,0.833522796631,[ 0.14217095],-0.747396945953,0.493162785948,0.237610374964,[ 0.08204813]
68,0.845195770264,[ 0.14077679],-0.741729855537,0.479359093292,0.491782416682,[ 0.08174217]
69,0.857017993927,[ 0.1401305],-0.738911867142,0.244300448523,0.455853228816,[ 0.08154306]
70,0.868552923203,[ 0.13959929],-0.736492216587,0.204537667782,0.240324170449,[ 0.08134837]
71,0.88038277626,[ 0.13847684],-0.731029629707,0.449885131951,0.229072414199,[ 0.08083205]
72,0.892524957657,[ 0.13797826],-0.728429853916,0.207917818667,0.425688400623,[ 0.0805507]
